CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.6388547;-45.120503652039325
1739209738.6388586;-33.981070128970906
1739209738.6388621;-38.13080360867914
1739209738.6388657;-45.120503652039325
1739209738.6388693;-45.120503652039325
1739209738.638873;-45.120503652039325
1739209738.6388767;-38.13080360867914
1739209738.6388803;-45.120503652039325
1739209738.638884;-45.120503652039325
1739209738.6388876;-33.981070128970906
1739209738.6388912;-45.120503652039325
1739209738.638895;-45.120503652039325
1739209738.6388986;-45.120503652039325
1739209738.6389022;-33.981070128970906
1739209738.6389058;-38.13080360867914
1739209738.6389096;-45.120503652039325
1739209738.6389132;-45.120503652039325
1739209738.6389167;-35.57807855764607
1739209738.6389205;-45.120503652039325
1739209738.6389241;-45.120503652039325
1739209738.6389277;-45.120503652039325
1739209738.6389313;-38.13080360867914
1739209738.638935;-45.120503652039325
1739209738.6389387;-38.13080360867914
1739209738.6389422;-38.13080360867914
1739209738.638946;-38.13080360867914
1739209738.6389496;-38.13080360867914
1739209738.6389532;-45.120503652039325
1739209738.6389568;-45.120503652039325
1739209738.6389606;-38.13080360867914
1739209738.6389642;-45.120503652039325
1739209738.6389678;-38.13080360867914
1739209738.6389716;-38.13080360867914
1739209738.6389751;-45.120503652039325
1739209738.6389787;-45.120503652039325
1739209738.6389823;-38.13080360867914
1739209738.638986;-38.13080360867914
1739209738.6389897;-45.120503652039325
1739209738.6389933;-45.120503652039325
1739209738.638997;-45.120503652039325
1739209738.6390007;-28.992665084841942
1739209738.6390042;-38.13080360867914
1739209738.639008;-45.120503652039325
1739209738.6390116;-45.120503652039325
