CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.693193;-45.120503652039325
1739209828.6932003;-45.120503652039325
1739209828.693208;-33.981070128970906
1739209828.6932156;-45.120503652039325
1739209828.693223;-45.120503652039325
1739209828.6932306;-45.120503652039325
1739209828.6932383;-38.13080360867914
1739209828.6932456;-38.13080360867914
1739209828.6932533;-38.13080360867914
1739209828.693261;-45.120503652039325
1739209828.6932683;-38.13080360867914
1739209828.693276;-35.57807855764607
1739209828.6932836;-45.120503652039325
1739209828.693291;-38.13080360867914
1739209828.6932986;-45.120503652039325
1739209828.6933062;-38.13080360867914
1739209828.6933136;-33.981070128970906
1739209828.6933212;-45.120503652039325
1739209828.6933289;-45.120503652039325
1739209828.6933362;-45.120503652039325
1739209828.6933439;-38.13080360867914
1739209828.6933515;-45.120503652039325
1739209828.6933591;-45.120503652039325
1739209828.6933665;-45.120503652039325
1739209828.6933742;-45.120503652039325
1739209828.6933818;-38.13080360867914
1739209828.6933892;-45.120503652039325
1739209828.6933968;-45.120503652039325
1739209828.6934044;-45.120503652039325
1739209828.6934118;-38.13080360867914
1739209828.6934195;-45.120503652039325
1739209828.693427;-38.13080360867914
1739209828.6934345;-33.981070128970906
1739209828.693442;-38.13080360867914
1739209828.6934497;-35.57807855764607
1739209828.6934571;-38.13080360867914
1739209828.6934648;-27.267205301931607
1739209828.6934724;-38.13080360867914
1739209828.6934798;-45.120503652039325
1739209828.6934874;-45.120503652039325
1739209828.693495;-38.13080360867914
1739209828.6935024;-45.120503652039325
1739209828.69351;-38.13080360867914
1739209828.6935177;-35.57807855764607
1739209828.6935253;-38.13080360867914
1739209828.6935327;-45.120503652039325
1739209828.6935403;-38.13080360867914
1739209828.693548;-38.13080360867914
1739209828.6935554;-38.13080360867914
1739209828.693563;-45.120503652039325
1739209828.6935706;-33.981070128970906
1739209828.693578;-35.57807855764607
1739209828.6935856;-28.992665084841942
1739209828.6935933;-38.13080360867914
1739209828.6936007;-38.13080360867914
1739209828.6936083;-38.13080360867914
1739209828.693616;-32.816014438256545
1739209828.6936233;-38.13080360867914
1739209828.693631;-45.120503652039325
1739209828.6936386;-33.981070128970906
1739209828.693646;-35.57807855764607
1739209828.6936536;-45.120503652039325
1739209828.6936612;-35.57807855764607
1739209828.6936688;-38.13080360867914
1739209828.6936762;-38.13080360867914
1739209828.6936839;-45.120503652039325
1739209828.6936915;-35.57807855764607
1739209828.693699;-35.57807855764607
1739209828.6937065;-38.13080360867914
1739209828.6937141;-45.120503652039325
1739209828.6937215;-38.13080360867914
1739209828.6937292;-38.13080360867914
1739209828.6937368;-38.13080360867914
1739209828.6937442;-45.120503652039325
1739209828.6937518;-45.120503652039325
1739209828.6937594;-45.120503652039325
1739209828.6937668;-45.120503652039325
1739209828.6937745;-45.120503652039325
1739209828.693782;-38.13080360867914
1739209828.6937895;-45.120503652039325
1739209828.693797;-35.57807855764607
1739209828.6938047;-35.57807855764607
1739209828.6938121;-38.13080360867914
1739209828.6938198;-32.816014438256545
1739209828.6938274;-45.120503652039325
1739209828.693835;-45.120503652039325
1739209828.6938424;-38.13080360867914
1739209828.69385;-38.13080360867914
1739209828.6938577;-45.120503652039325
1739209828.693865;-45.120503652039325
1739209828.6938727;-38.13080360867914
1739209828.6938803;-45.120503652039325
1739209828.6938877;-31.141103565318893
1739209828.6938953;-28.21854285175415
1739209828.693903;-45.120503652039325
1739209828.6939104;-45.120503652039325
1739209828.693918;-35.57807855764607
1739209828.6939256;-35.57807855764607
1739209828.693933;-45.120503652039325
1739209828.6939406;-38.13080360867914
1739209828.6939483;-45.120503652039325
1739209828.6939557;-38.13080360867914
1739209828.6939633;-45.120503652039325
1739209828.693971;-45.120503652039325
1739209828.6939785;-45.120503652039325
1739209828.693986;-38.13080360867914
1739209828.6939936;-38.13080360867914
1739209828.6940012;-45.120503652039325
1739209828.6940086;-32.816014438256545
1739209828.6940162;-26.487275050834715
1739209828.6940238;-45.120503652039325
1739209828.6940312;-45.120503652039325
1739209828.6940389;-38.13080360867914
1739209828.6940465;-32.816014438256545
1739209828.694054;-33.981070128970906
1739209828.6940615;-38.13080360867914
1739209828.6940691;-45.120503652039325
1739209828.6940765;-45.120503652039325
1739209828.6940842;-35.57807855764607
1739209828.6940918;-45.120503652039325
1739209828.6940992;-45.120503652039325
1739209828.6941068;-45.120503652039325
1739209828.6941144;-38.13080360867914
1739209828.6941218;-38.13080360867914
1739209828.6941295;-33.981070128970906
1739209828.694137;-30.49652367304973
1739209828.6941447;-45.120503652039325
1739209828.694152;-45.120503652039325
1739209828.6941597;-38.13080360867914
1739209828.6941674;-38.13080360867914
1739209828.6941748;-38.13080360867914
1739209828.6941824;-45.120503652039325
1739209828.69419;-45.120503652039325
1739209828.6941974;-45.120503652039325
1739209828.694205;-38.13080360867914
1739209828.6942127;-45.120503652039325
