CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.8152056;-38.13080360867914
1739209717.8152096;-32.816014438256545
1739209717.8152137;-38.13080360867914
1739209717.8152177;-45.120503652039325
1739209717.8152218;-38.13080360867914
1739209717.8152258;-32.816014438256545
1739209717.81523;-38.13080360867914
1739209717.8152337;-33.981070128970906
1739209717.8152378;-35.57807855764607
1739209717.8152418;-35.57807855764607
1739209717.8152459;-38.13080360867914
1739209717.81525;-38.13080360867914
1739209717.815254;-33.981070128970906
1739209717.815258;-38.13080360867914
1739209717.8152618;-33.981070128970906
1739209717.815266;-45.120503652039325
1739209717.81527;-38.13080360867914
1739209717.815274;-38.13080360867914
1739209717.815278;-45.120503652039325
1739209717.815282;-45.120503652039325
1739209717.8152862;-38.13080360867914
1739209717.81529;-35.57807855764607
1739209717.815294;-38.13080360867914
1739209717.815298;-45.120503652039325
1739209717.8153021;-45.120503652039325
1739209717.8153062;-38.13080360867914
1739209717.8153102;-45.120503652039325
1739209717.8153143;-33.981070128970906
1739209717.815318;-38.13080360867914
1739209717.8153222;-45.120503652039325
1739209717.8153262;-45.120503652039325
1739209717.8153303;-32.816014438256545
1739209717.8153343;-38.13080360867914
1739209717.8153384;-45.120503652039325
1739209717.8153424;-38.13080360867914
1739209717.8153462;-45.120503652039325
1739209717.8153503;-35.57807855764607
1739209717.8153543;-38.13080360867914
1739209717.8153584;-38.13080360867914
1739209717.8153625;-38.13080360867914
1739209717.8153665;-45.120503652039325
1739209717.8153703;-38.13080360867914
1739209717.8153744;-38.13080360867914
1739209717.8153784;-45.120503652039325
1739209717.8153825;-38.13080360867914
1739209717.8153865;-35.57807855764607
1739209717.8153906;-45.120503652039325
1739209717.8153946;-28.992665084841942
1739209717.8153985;-31.141103565318915
1739209717.8154025;-33.981070128970906
1739209717.8154066;-45.120503652039325
1739209717.8154106;-38.13080360867914
1739209717.8154147;-35.57807855764607
1739209717.8154187;-38.13080360867914
1739209717.8154228;-38.13080360867914
1739209717.8154266;-45.120503652039325
1739209717.8154306;-33.981070128970906
1739209717.8154347;-35.57807855764607
1739209717.8154387;-45.120503652039325
1739209717.8154428;-45.120503652039325
1739209717.8154469;-33.981070128970906
1739209717.815451;-38.13080360867914
1739209717.8154547;-45.120503652039325
1739209717.8154588;-38.13080360867914
1739209717.8154628;-38.13080360867914
1739209717.815467;-45.120503652039325
1739209717.815471;-45.120503652039325
1739209717.815475;-38.13080360867914
1739209717.815479;-35.57807855764607
1739209717.8154829;-38.13080360867914
1739209717.815487;-45.120503652039325
1739209717.815491;-38.13080360867914
1739209717.815495;-33.981070128970906
1739209717.815499;-38.13080360867914
1739209717.8155031;-45.120503652039325
1739209717.8155072;-45.120503652039325
1739209717.815511;-38.13080360867914
1739209717.815515;-45.120503652039325
1739209717.815519;-38.13080360867914
1739209717.8155231;-38.13080360867914
1739209717.8155272;-32.816014438256545
1739209717.8155313;-38.13080360867914
1739209717.8155353;-38.13080360867914
1739209717.8155391;-38.13080360867914
1739209717.8155432;-45.120503652039325
1739209717.8155472;-45.120503652039325
1739209717.8155513;-38.13080360867914
1739209717.8155553;-38.13080360867914
1739209717.8155594;-28.992665084841942
1739209717.8155634;-45.120503652039325
1739209717.8155673;-45.120503652039325
1739209717.8155713;-38.13080360867914
1739209717.8155754;-38.13080360867914
1739209717.8155794;-45.120503652039325
1739209717.8155835;-38.13080360867914
1739209717.8155875;-38.13080360867914
1739209717.8155913;-28.58837851428586
1739209717.8155954;-45.120503652039325
1739209717.8155994;-38.13080360867914
1739209717.8156035;-38.13080360867914
1739209717.8156075;-45.120503652039325
1739209717.8156116;-45.120503652039325
1739209717.8156157;-38.13080360867914
1739209717.8156195;-32.816014438256545
1739209717.8156235;-33.981070128970906
1739209717.8156276;-45.120503652039325
1739209717.8156316;-38.13080360867914
1739209717.8156357;-45.120503652039325
1739209717.8156397;-45.120503652039325
1739209717.8156438;-45.120503652039325
1739209717.8156476;-38.13080360867914
1739209717.8156517;-38.13080360867914
1739209717.8156557;-38.13080360867914
1739209717.8156598;-38.13080360867914
1739209717.8156638;-38.13080360867914
1739209717.8156679;-38.13080360867914
1739209717.815672;-38.13080360867914
1739209717.8156757;-38.13080360867914
1739209717.8156798;-38.13080360867914
1739209717.8156838;-35.57807855764607
1739209717.815688;-38.13080360867914
1739209717.815692;-45.120503652039325
1739209717.815696;-45.120503652039325
1739209717.8157;-45.120503652039325
1739209717.8157039;-38.13080360867914
1739209717.815708;-38.13080360867914
1739209717.815712;-38.13080360867914
1739209717.815716;-35.57807855764607
1739209717.81572;-38.13080360867914
1739209717.8157241;-38.13080360867914
1739209717.8157282;-45.120503652039325
1739209717.815732;-35.57807855764607
1739209717.815736;-38.13080360867914
1739209717.81574;-38.13080360867914
1739209717.8157442;-38.13080360867914
1739209717.8157482;-45.120503652039325
1739209717.8157523;-38.13080360867914
1739209717.8157563;-45.120503652039325
1739209717.8157601;-38.13080360867914
1739209717.8157642;-38.13080360867914
1739209717.8157682;-38.13080360867914
1739209717.8157723;-45.120503652039325
1739209717.8157763;-38.13080360867914
1739209717.8157804;-45.120503652039325
1739209717.8157845;-45.120503652039325
1739209717.8157883;-33.981070128970906
1739209717.8157923;-38.13080360867914
1739209717.8157964;-45.120503652039325
1739209717.8158004;-38.13080360867914
1739209717.8158045;-32.816014438256545
1739209717.8158085;-38.13080360867914
1739209717.8158123;-45.120503652039325
1739209717.8158164;-38.13080360867914
1739209717.8158205;-38.13080360867914
1739209717.8158245;-45.120503652039325
1739209717.8158286;-45.120503652039325
1739209717.8158326;-45.120503652039325
1739209717.8158367;-33.981070128970906
1739209717.8158405;-38.13080360867914
1739209717.8158445;-45.120503652039325
1739209717.8158486;-45.120503652039325
1739209717.8158526;-45.120503652039325
1739209717.8158567;-38.13080360867914
1739209717.8158607;-45.120503652039325
1739209717.8158648;-33.981070128970906
1739209717.8158686;-35.57807855764607
1739209717.8158727;-38.13080360867914
1739209717.8158767;-45.120503652039325
1739209717.8158808;-38.13080360867914
1739209717.8158848;-35.57807855764607
1739209717.815889;-38.13080360867914
1739209717.815893;-45.120503652039325
1739209717.8158967;-45.120503652039325
1739209717.8159008;-38.13080360867914
1739209717.8159049;-38.13080360867914
1739209717.815909;-45.120503652039325
1739209717.815913;-38.13080360867914
1739209717.815917;-45.120503652039325
1739209717.815921;-38.13080360867914
1739209717.815925;-45.120503652039325
1739209717.815929;-38.13080360867914
1739209717.815933;-38.13080360867914
1739209717.815937;-38.13080360867914
1739209717.815941;-45.120503652039325
1739209717.8159451;-45.120503652039325
1739209717.8159492;-30.49652367304973
1739209717.815953;-38.13080360867914
1739209717.815957;-45.120503652039325
1739209717.8159611;-45.120503652039325
1739209717.8159652;-38.13080360867914
1739209717.8159692;-38.13080360867914
1739209717.8159733;-45.120503652039325
1739209717.8159773;-35.57807855764607
