CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.630589;-33.981070128970906
1739209606.630594;-45.120503652039325
1739209606.630599;-45.120503652039325
1739209606.630604;-45.120503652039325
1739209606.630609;-45.120503652039325
1739209606.630614;-45.120503652039325
1739209606.630619;-45.120503652039325
1739209606.6306243;-45.120503652039325
1739209606.6306293;-38.13080360867914
1739209606.6306343;-38.13080360867914
1739209606.6306393;-45.120503652039325
1739209606.6306443;-45.120503652039325
1739209606.6306493;-38.13080360867914
1739209606.6306543;-38.13080360867914
1739209606.6306593;-45.120503652039325
1739209606.6306643;-35.57807855764607
1739209606.6306694;-38.13080360867914
1739209606.6306744;-45.120503652039325
1739209606.6306794;-45.120503652039325
1739209606.6306844;-31.141103565318893
1739209606.6306896;-32.816014438256545
1739209606.6306946;-45.120503652039325
1739209606.6306996;-35.57807855764607
1739209606.6307046;-45.120503652039325
1739209606.6307096;-38.13080360867914
1739209606.6307147;-38.13080360867914
1739209606.6307197;-38.13080360867914
1739209606.6307247;-45.120503652039325
1739209606.6307297;-45.120503652039325
1739209606.6307347;-32.816014438256545
1739209606.6307397;-38.13080360867914
1739209606.6307447;-45.120503652039325
1739209606.6307497;-45.120503652039325
1739209606.630755;-38.13080360867914
1739209606.63076;-45.120503652039325
1739209606.630765;-29.438486411369333
1739209606.63077;-31.141103565318893
1739209606.630775;-38.13080360867914
1739209606.63078;-35.57807855764607
1739209606.630785;-38.13080360867914
1739209606.63079;-38.13080360867914
1739209606.630795;-32.816014438256545
1739209606.6308;-38.13080360867914
1739209606.630805;-45.120503652039325
1739209606.63081;-35.57807855764607
1739209606.630815;-38.13080360867914
1739209606.63082;-45.120503652039325
1739209606.6308253;-45.120503652039325
1739209606.6308303;-45.120503652039325
1739209606.6308353;-45.120503652039325
1739209606.6308403;-33.981070128970906
1739209606.6308453;-45.120503652039325
1739209606.6308503;-45.120503652039325
1739209606.6308553;-38.13080360867914
1739209606.6308603;-45.120503652039325
1739209606.6308653;-45.120503652039325
1739209606.6308703;-45.120503652039325
1739209606.6308753;-32.816014438256545
1739209606.6308804;-38.13080360867914
1739209606.6308854;-32.816014438256545
1739209606.6308906;-30.49652367304973
1739209606.6308956;-35.57807855764607
1739209606.6309006;-38.13080360867914
1739209606.6309056;-30.49652367304973
1739209606.6309106;-31.141103565318893
1739209606.6309156;-38.13080360867914
1739209606.6309206;-38.13080360867914
1739209606.6309257;-45.120503652039325
1739209606.6309307;-38.13080360867914
1739209606.6309357;-35.57807855764607
1739209606.6309407;-38.13080360867914
1739209606.6309457;-45.120503652039325
1739209606.6309507;-45.120503652039325
1739209606.630956;-45.120503652039325
1739209606.630961;-45.120503652039325
1739209606.630966;-38.13080360867914
1739209606.630971;-31.141103565318915
1739209606.630976;-38.13080360867914
1739209606.630981;-45.120503652039325
1739209606.630986;-45.120503652039325
1739209606.630991;-38.13080360867914
1739209606.630996;-38.13080360867914
1739209606.631001;-45.120503652039325
1739209606.631006;-45.120503652039325
1739209606.631011;-45.120503652039325
1739209606.631016;-38.13080360867914
1739209606.631021;-38.13080360867914
1739209606.6310263;-45.120503652039325
1739209606.6310313;-38.13080360867914
1739209606.6310363;-38.13080360867914
1739209606.6310413;-38.13080360867914
1739209606.6310463;-45.120503652039325
1739209606.6310513;-38.13080360867914
1739209606.6310563;-38.13080360867914
1739209606.6310613;-38.13080360867914
1739209606.6310663;-45.120503652039325
1739209606.6310713;-45.120503652039325
1739209606.6310763;-45.120503652039325
1739209606.6310813;-45.120503652039325
1739209606.6310863;-45.120503652039325
1739209606.6310916;-38.13080360867914
1739209606.6310966;-35.57807855764607
1739209606.6311016;-38.13080360867914
1739209606.6311066;-45.120503652039325
1739209606.6311116;-33.981070128970906
1739209606.6311166;-33.981070128970906
1739209606.6311216;-45.120503652039325
1739209606.6311266;-45.120503652039325
1739209606.6311316;-45.120503652039325
1739209606.6311367;-45.120503652039325
1739209606.6311417;-45.120503652039325
1739209606.6311467;-45.120503652039325
1739209606.6311517;-45.120503652039325
1739209606.631157;-38.13080360867914
1739209606.631162;-38.13080360867914
1739209606.631167;-38.13080360867914
1739209606.631172;-45.120503652039325
1739209606.631177;-38.13080360867914
1739209606.631182;-38.13080360867914
1739209606.631187;-38.13080360867914
1739209606.631192;-45.120503652039325
1739209606.631197;-45.120503652039325
1739209606.631202;-45.120503652039325
1739209606.631207;-45.120503652039325
1739209606.631212;-38.13080360867914
1739209606.631217;-33.981070128970906
1739209606.631222;-45.120503652039325
1739209606.6312273;-45.120503652039325
1739209606.6312323;-38.13080360867914
1739209606.6312373;-38.13080360867914
1739209606.6312423;-45.120503652039325
1739209606.6312473;-45.120503652039325
1739209606.6312523;-45.120503652039325
1739209606.6312573;-38.13080360867914
1739209606.6312623;-38.13080360867914
1739209606.6312673;-45.120503652039325
1739209606.6312723;-38.13080360867914
1739209606.6312773;-38.13080360867914
1739209606.6312823;-35.57807855764607
1739209606.6312873;-45.120503652039325
1739209606.6312926;-38.13080360867914
1739209606.6312976;-33.981070128970906
1739209606.6313026;-45.120503652039325
1739209606.6313076;-45.120503652039325
1739209606.6313126;-38.13080360867914
1739209606.6313176;-35.57807855764607
1739209606.6313226;-45.120503652039325
