CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4272802;-28.21854285175415
1739209868.4272833;-45.120503652039325
1739209868.4272864;-30.49652367304973
1739209868.4272895;-28.21854285175415
1739209868.4272926;-31.141103565318893
1739209868.4272957;-45.120503652039325
1739209868.4272988;-38.13080360867914
1739209868.427302;-28.992665084841942
1739209868.427305;-28.992665084841967
1739209868.4273078;-29.438486411369354
1739209868.427311;-28.21854285175415
1739209868.427314;-32.816014438256545
1739209868.4273171;-38.13080360867914
1739209868.4273202;-45.120503652039325
1739209868.4273233;-38.13080360867914
1739209868.4273264;-28.992665084841942
1739209868.4273295;-32.816014438256545
1739209868.4273324;-45.120503652039325
1739209868.4273355;-38.13080360867914
1739209868.4273386;-45.120503652039325
1739209868.4273417;-45.120503652039325
1739209868.4273448;-33.981070128970906
1739209868.427348;-33.981070128970956
1739209868.427351;-45.120503652039325
1739209868.427354;-45.120503652039325
1739209868.4273572;-38.13080360867914
1739209868.42736;-33.981070128970956
1739209868.4273632;-33.981070128970906
1739209868.4273663;-30.49652367304973
1739209868.4273694;-33.981070128970906
1739209868.4273725;-33.981070128970906
1739209868.4273756;-31.141103565318915
1739209868.4273787;-27.8777449560314
1739209868.4273818;-33.981070128970906
1739209868.4273849;-38.13080360867914
1739209868.4273877;-27.267205301931607
1739209868.4273908;-38.13080360867914
1739209868.427394;-33.981070128970906
1739209868.427397;-33.981070128970906
1739209868.4274;-45.120503652039325
1739209868.4274032;-38.13080360867914
1739209868.4274063;-38.13080360867914
1739209868.4274094;-38.13080360867914
1739209868.4274123;-32.816014438256545
1739209868.4274154;-31.141103565318915
1739209868.4274185;-38.13080360867914
1739209868.4274216;-33.981070128970906
1739209868.4274247;-31.141103565318915
1739209868.4274278;-45.120503652039325
1739209868.4274309;-45.120503652039325
1739209868.427434;-32.816014438256545
1739209868.427437;-24.151403521958727
1739209868.42744;-31.141103565318915
1739209868.427443;-45.120503652039325
1739209868.4274461;-45.120503652039325
1739209868.4274492;-30.49652367304973
1739209868.4274523;-29.438486411369333
1739209868.4274554;-28.992665084841942
1739209868.4274585;-32.81601443825658
1739209868.4274616;-28.992665084841967
1739209868.4274645;-27.267205301931607
1739209868.4274676;-33.981070128970906
1739209868.4274707;-38.13080360867914
1739209868.4274738;-28.21854285175415
1739209868.427477;-28.992665084841942
1739209868.42748;-45.120503652039325
1739209868.427483;-30.49652367304973
1739209868.4274862;-31.141103565318915
1739209868.4274893;-45.120503652039325
1739209868.4274921;-38.13080360867914
1739209868.4274952;-45.120503652039325
1739209868.4274983;-33.981070128970906
1739209868.4275014;-45.120503652039325
1739209868.4275045;-32.816014438256545
1739209868.4275076;-45.120503652039325
1739209868.4275107;-33.981070128970906
1739209868.4275138;-33.981070128970906
1739209868.4275167;-28.992665084841942
1739209868.4275198;-30.49652367304973
1739209868.427523;-35.57807855764607
1739209868.427526;-35.57807855764607
1739209868.427529;-38.13080360867914
1739209868.4275322;-38.13080360867914
1739209868.4275353;-38.13080360867914
1739209868.4275384;-45.120503652039325
1739209868.4275415;-33.981070128970906
1739209868.4275444;-26.991370085610736
1739209868.4275475;-31.141103565318915
1739209868.4275506;-45.120503652039325
1739209868.4275537;-35.57807855764607
1739209868.4275568;-45.120503652039325
1739209868.4275599;-33.981070128970956
1739209868.427563;-30.49652367304973
1739209868.427566;-45.120503652039325
1739209868.427569;-31.141103565318915
1739209868.427572;-33.981070128970906
1739209868.427575;-24.589719217205094
1739209868.4275782;-30.49652367304973
1739209868.4275813;-30.49652367304973
1739209868.4275844;-38.13080360867914
1739209868.4275875;-38.13080360867914
1739209868.4275906;-27.267205301931607
1739209868.4275937;-26.991370085610736
1739209868.4275966;-35.57807855764607
1739209868.4275997;-38.13080360867914
1739209868.4276028;-31.141103565318893
